,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,date,time_of_day,hour
18184,6,8,5,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18186,7,8,5,7,5,8,OLD TOWN HOSPITAL,2020-04-09,1,1
18187,7,7,7,8,5,4,OLD TOWN HOSPITAL,2020-04-09,1,1
18188,6,9,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18190,5,9,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18192,6,8,7,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18196,7,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18198,6,9,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18200,6,9,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18203,6,7,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18204,6,7,6,8,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18207,6,9,6,8,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18213,5,9,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18214,6,8,7,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18218,6,8,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18220,5,8,8,7,3,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18222,6,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18224,6,8,6,7,7,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18225,6,7,6,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18226,6,8,6,6,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18232,6,7,4,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18233,5,8,7,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18241,7,8,6,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18242,6,8,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18243,4,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18244,6,9,5,5,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18246,6,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18251,7,7,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18252,5,8,6,7,7,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18257,5,8,7,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18265,5,8,6,6,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18266,5,8,5,8,3,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18268,7,9,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18272,6,8,6,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18273,6,9,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18276,5,9,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18277,7,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18280,7,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18281,6,8,5,6,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18286,6,8,5,6,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18289,6,8,7,8,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18291,6,7,6,5,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18292,6,8,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18297,7,8,7,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18300,7,8,7,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18301,6,8,7,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18303,6,9,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18304,6,9,6,8,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18312,5,7,5,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18313,6,7,5,8,3,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18314,5,10,6,8,6,8,OLD TOWN HOSPITAL,2020-04-09,1,1
18317,5,8,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18318,7,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18325,6,7,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18327,6,7,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18330,6,8,5,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18334,4,8,5,6,3,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18336,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18347,6,9,6,7,3,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18354,6,7,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18356,6,8,6,7,3,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18357,7,8,5,7,5,4,OLD TOWN HOSPITAL,2020-04-09,1,1
18359,5,7,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18361,6,7,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18363,6,7,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18365,6,8,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18370,5,7,7,6,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18375,5,8,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18376,8,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18378,7,9,4,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18379,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18381,7,8,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18385,7,8,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18390,6,9,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18394,7,8,5,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18395,5,8,7,6,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18397,6,7,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18398,6,9,7,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18399,6,8,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18405,6,8,7,7,3,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18407,6,7,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18413,6,8,7,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18415,5,7,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18417,5,9,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18419,7,7,6,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18421,6,9,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18425,8,9,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18432,6,8,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18434,7,8,6,8,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18440,5,9,7,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18442,6,9,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18446,5,9,6,5,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18447,6,8,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18451,6,8,5,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18452,7,8,6,6,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18454,6,7,6,6,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18456,7,8,7,7,3,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18460,6,7,5,9,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18462,7,8,7,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18465,7,9,6,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18466,5,7,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18468,6,9,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18473,6,8,5,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18480,6,8,5,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18482,5,8,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18485,6,8,5,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18486,4,8,7,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18487,7,8,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18488,6,7,6,6,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18489,6,8,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18490,7,7,6,8,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18492,7,9,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18493,6,7,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18495,6,7,7,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18497,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18500,6,9,5,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18511,6,7,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18512,7,9,5,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18513,6,8,6,8,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18514,6,8,7,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18516,6,9,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18522,6,8,5,6,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18527,7,7,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18529,6,9,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18530,6,8,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18531,6,7,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18532,7,9,6,9,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18533,6,8,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18534,7,8,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18535,6,8,5,7,5,8,OLD TOWN HOSPITAL,2020-04-09,1,1
18540,6,7,8,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18545,7,8,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18546,6,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18562,7,9,7,6,7,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18565,7,9,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18566,8,8,6,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18567,5,9,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18569,7,8,5,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18571,6,7,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18572,7,7,8,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18575,5,8,7,6,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18576,5,9,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18579,6,8,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18580,6,8,7,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18584,6,10,7,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18588,7,8,6,6,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18590,7,9,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18592,6,8,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18593,5,8,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18594,6,8,5,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18595,6,9,7,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18596,6,8,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18597,6,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18598,6,9,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18601,6,8,5,6,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18606,5,8,5,5,3,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18611,6,9,5,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18618,5,8,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18620,6,7,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18622,6,7,5,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18626,6,7,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18629,6,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18631,6,8,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18632,6,8,7,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18639,7,8,5,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18642,6,9,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18643,5,8,8,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18644,5,8,5,6,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18645,6,7,4,8,3,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18646,6,8,7,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18648,7,7,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18649,5,8,6,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18651,7,9,7,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18654,6,9,6,5,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18655,5,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18659,6,7,5,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18663,6,7,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18666,7,7,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18667,5,8,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18670,7,6,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18673,6,8,5,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18674,6,8,6,8,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18675,5,8,6,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18676,5,8,7,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18679,6,8,5,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18681,5,9,7,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18683,4,8,7,8,6,8,OLD TOWN HOSPITAL,2020-04-09,1,1
18685,5,7,6,8,7,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18686,7,7,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18687,6,7,6,8,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18693,5,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18696,5,10,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18697,5,8,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18700,7,8,5,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18701,6,8,7,7,7,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18702,7,9,6,7,7,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18704,6,7,5,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18706,5,7,6,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18709,7,8,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18710,6,7,5,7,6,4,OLD TOWN HOSPITAL,2020-04-09,1,1
18712,7,7,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18713,6,8,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18719,5,8,5,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18721,7,10,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18723,7,9,4,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18724,4,8,5,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18727,5,9,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18730,5,8,5,5,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18736,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18739,6,8,7,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18740,6,8,8,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18742,6,9,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18744,6,7,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18747,6,8,7,8,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18748,5,10,7,6,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18750,5,7,6,6,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18751,6,9,7,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18752,6,7,5,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18754,7,9,4,6,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18755,8,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18756,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18757,5,8,6,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18758,6,7,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18760,6,8,7,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18766,6,6,7,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18769,7,9,5,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18773,6,8,7,6,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18774,5,8,7,8,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18776,7,9,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18780,7,7,7,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18781,6,9,6,6,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18782,6,7,5,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18783,6,9,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18786,5,8,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18788,5,7,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18790,7,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18794,5,8,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18798,6,7,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18805,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18812,5,8,7,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18818,7,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18822,5,7,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18823,5,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18825,5,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18828,6,8,5,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18830,5,8,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18832,5,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18837,6,9,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18838,7,9,7,6,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18844,5,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18845,6,10,7,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18848,6,8,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18850,6,10,5,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18851,6,8,4,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18852,5,8,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18853,6,8,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18855,6,8,6,5,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18858,7,8,6,8,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18859,6,8,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18864,8,9,5,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18865,5,8,5,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18867,6,8,7,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18870,6,8,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18871,7,8,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18872,6,9,7,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18873,7,8,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18875,7,9,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18877,6,7,7,9,5,8,OLD TOWN HOSPITAL,2020-04-09,1,1
18878,7,8,6,5,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18880,7,7,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18883,6,8,7,8,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18884,5,9,7,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18888,6,9,5,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18889,7,9,7,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18890,5,8,6,6,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18892,7,7,6,8,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18896,7,8,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18897,8,8,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18898,6,8,7,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18902,7,7,6,7,3,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18903,6,9,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18904,6,7,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18906,6,8,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18907,7,8,6,7,5,4,OLD TOWN HOSPITAL,2020-04-09,1,1
18914,6,8,8,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18916,5,9,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18922,7,8,5,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18924,7,8,6,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18925,5,7,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18926,7,9,6,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18928,6,8,5,8,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18932,6,9,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18933,6,8,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18936,6,9,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18937,6,8,6,7,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18938,6,10,6,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18942,6,8,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18944,6,9,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18947,5,8,6,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18948,6,6,5,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18949,5,9,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18951,6,9,6,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18953,6,8,6,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18955,5,8,6,6,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18960,6,7,6,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18967,5,7,6,6,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18969,7,8,7,8,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18974,6,9,6,8,4,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18977,6,8,4,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18978,6,9,6,6,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18980,6,8,5,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18982,6,8,5,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18983,7,9,5,7,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18986,6,8,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18987,5,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18991,6,8,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
18997,5,7,6,6,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
18998,6,8,6,6,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
18999,6,9,6,7,4,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19003,7,7,7,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
19005,7,8,6,8,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
19006,7,8,7,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19007,7,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19008,6,8,5,6,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19009,6,9,5,6,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19012,7,7,8,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
19016,6,8,6,7,6,5,OLD TOWN HOSPITAL,2020-04-09,1,1
19019,5,8,6,6,7,7,OLD TOWN HOSPITAL,2020-04-09,1,1
19021,6,7,7,7,4,7,OLD TOWN HOSPITAL,2020-04-09,1,1
19022,7,8,7,8,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19024,6,8,5,8,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
19027,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19031,6,8,6,8,5,7,OLD TOWN HOSPITAL,2020-04-09,1,1
19032,7,7,6,8,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19034,7,6,7,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
19035,6,8,6,7,5,5,OLD TOWN HOSPITAL,2020-04-09,1,1
19036,6,9,6,7,6,7,OLD TOWN HOSPITAL,2020-04-09,1,1
19039,6,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19040,5,6,5,7,6,6,OLD TOWN HOSPITAL,2020-04-09,1,1
19042,4,8,6,7,5,6,OLD TOWN HOSPITAL,2020-04-09,1,1
